,Delta (mm),Load (N),L,b (mm),h (mm)
0,0,0,37.75,6.26,1.6
16,-0.025,4.514835,37.75,6.26,1.6
208,-0.076,26.366197,37.75,6.26,1.6
415,-0.152,54.362568,37.75,6.26,1.6
623,-0.254,82.752202,37.75,6.26,1.6
830,-0.33,115.155755,37.75,6.26,1.6
1037,-0.432,146.348761,37.75,6.26,1.6
1245,-0.508,176.94638,37.75,6.26,1.6
1453,-0.61,205.931401,37.75,6.26,1.6
1660,-0.686,233.352158,37.75,6.26,1.6
1868,-0.787,258.202425,37.75,6.26,1.6
2075,-0.864,280.581067,37.75,6.26,1.6
2282,-0.965,299.989365,37.75,6.26,1.6
2474,-1.067,317.2468,37.75,6.26,1.6
2682,-1.143,330.8682,37.75,6.26,1.6
2889,-1.245,343.279053,37.75,6.26,1.6
3097,-1.346,353.178735,37.75,6.26,1.6
3304,-1.448,361.417485,37.75,6.26,1.6
3512,-1.524,367.760224,37.75,6.26,1.6
3703,-1.626,373.505379,37.75,6.26,1.6
3911,-1.727,378.382719,37.75,6.26,1.6
4118,-1.829,382.310955,37.75,6.26,1.6
4326,-1.93,386.355632,37.75,6.26,1.6
4533,-2.032,389.629162,37.75,6.26,1.6
4725,-2.108,392.953223,37.75,6.26,1.6
4932,-2.21,395.892809,37.75,6.26,1.6
5140,-2.311,398.854365,37.75,6.26,1.6
5347,-2.413,401.180988,37.75,6.26,1.6
5555,-2.515,403.397761,37.75,6.26,1.6
5746,-2.616,405.744157,37.75,6.26,1.6
5954,-2.718,404.034891,37.75,6.26,1.6
6161,-2.819,405.911129,37.75,6.26,1.6
6369,-2.921,407.561076,37.75,6.26,1.6
6576,-3.023,408.881473,37.75,6.26,1.6
6768,-3.099,410.338084,37.75,6.26,1.6
6975,-3.2,409.799819,37.75,6.26,1.6
7167,-3.302,410.726953,37.75,6.26,1.6
7358,-3.404,411.401432,37.75,6.26,1.6
7550,-3.505,413.484188,37.75,6.26,1.6
7742,-3.581,413.640175,37.75,6.26,1.6
7933,-3.683,414.470641,37.75,6.26,1.6
8125,-3.785,415.751492,37.75,6.26,1.6
8316,-3.861,416.522639,37.75,6.26,1.6
8508,-3.962,416.766506,37.75,6.26,1.6
8699,-4.064,417.988038,37.75,6.26,1.6
8907,-4.166,414.431095,37.75,6.26,1.6
9114,-4.166,411.647496,37.75,6.26,1.6
9322,-4.166,410.726953,37.75,6.26,1.6
9529,-4.166,410.298538,37.75,6.26,1.6
9737,-4.166,409.848153,37.75,6.26,1.6
9945,-4.166,409.536179,37.75,6.26,1.6
10152,-4.166,409.272539,37.75,6.26,1.6
10359,-4.166,409.026475,37.75,6.26,1.6
10567,-4.166,408.881473,37.75,6.26,1.6
10774,-4.166,408.655182,37.75,6.26,1.6
10982,-4.166,408.479422,37.75,6.26,1.6
11190,-4.166,408.518968,37.75,6.26,1.6
11397,-4.166,408.371769,37.75,6.26,1.6
11605,-4.166,408.391542,37.75,6.26,1.6
11812,-4.166,408.15866,37.75,6.26,1.6
12020,-4.166,408.24654,37.75,6.26,1.6
12227,-4.166,408.020249,37.75,6.26,1.6
12435,-4.166,407.756609,37.75,6.26,1.6
12642,-4.166,407.855474,37.75,6.26,1.6
12850,-4.166,407.875247,37.75,6.26,1.6
13057,-4.166,407.648956,37.75,6.26,1.6
13266,-4.166,407.668729,37.75,6.26,1.6
13473,-4.166,407.561076,37.75,6.26,1.6
13681,-4.166,407.591834,37.75,6.26,1.6
13888,-4.166,407.34577,37.75,6.26,1.6
14096,-4.166,407.424862,37.75,6.26,1.6
14303,-4.166,407.541303,37.75,6.26,1.6
14511,-4.166,407.277663,37.75,6.26,1.6
14719,-4.166,407.376528,37.75,6.26,1.6
14926,-4.166,407.297436,37.75,6.26,1.6
15133,-4.166,407.297436,37.75,6.26,1.6
15341,-4.166,407.189783,37.75,6.26,1.6
15548,-4.166,407.150237,37.75,6.26,1.6
15756,-4.166,406.985462,37.75,6.26,1.6
15964,-4.166,407.062357,37.75,6.26,1.6
16171,-4.166,407.150237,37.75,6.26,1.6
16379,-4.166,407.08213,37.75,6.26,1.6
16586,-4.166,407.005235,37.75,6.26,1.6
16794,-4.166,407.08213,37.75,6.26,1.6
17001,-4.166,407.005235,37.75,6.26,1.6
17208,-4.166,406.917355,37.75,6.26,1.6
17416,-4.166,407.005235,37.75,6.26,1.6
17624,-4.166,406.838263,37.75,6.26,1.6
17831,-4.166,406.594396,37.75,6.26,1.6
18039,-4.166,406.858036,37.75,6.26,1.6
18246,-4.166,406.858036,37.75,6.26,1.6
18454,-4.166,406.778944,37.75,6.26,1.6
18661,-4.166,406.691064,37.75,6.26,1.6
