a,b,c,as,sad,asdd
16,0,0.734,2.41,3.68,37.75
208,0,1.116,2.41,3.68,37.75
400,-0.025,1.41,2.41,3.68,37.75
592,-0.025,1.708,2.41,3.68,37.75
784,-0.051,1.962,2.41,3.68,37.75
976,-0.076,2.291,2.41,3.68,37.75
1167,-0.076,2.936,2.41,3.68,37.75
1359,-0.102,3.14,2.41,3.68,37.75
1551,-0.102,3.678,2.41,3.68,37.75
1743,-0.127,4.114,2.41,3.68,37.75
1935,-0.127,4.533,2.41,3.68,37.75
2127,-0.152,4.702,2.41,3.68,37.75
2319,-0.152,5.004,2.41,3.68,37.75
2511,-0.178,5.542,2.41,3.68,37.75
2719,-0.178,5.84,2.41,3.68,37.75
2927,-0.203,6.183,2.41,3.68,37.75
3136,-0.229,6.472,2.41,3.68,37.75
3344,-0.229,6.143,2.41,3.68,37.75
3552,-0.254,6.343,2.41,3.68,37.75
3760,-0.254,6.89,2.41,3.68,37.75
3968,-0.279,7.232,2.41,3.68,37.75
4176,-0.305,7.78,2.41,3.68,37.75
4384,-0.305,8.38,2.41,3.68,37.75
4591,-0.33,8.358,2.41,3.68,37.75
4800,-0.356,8.442,2.41,3.68,37.75
5007,-0.356,8.989,2.41,3.68,37.75
5215,-0.381,9.674,2.41,3.68,37.75
5423,-0.381,10.217,2.41,3.68,37.75
5631,-0.406,10.666,2.41,3.68,37.75
5839,-0.432,11.129,2.41,3.68,37.75
6047,-0.432,11.672,2.41,3.68,37.75
6255,-0.457,12.299,2.41,3.68,37.75
6463,-0.457,12.797,2.41,3.68,37.75
6671,-0.483,13.304,2.41,3.68,37.75
6879,-0.508,13.807,2.41,3.68,37.75
7087,-0.508,14.038,2.41,3.68,37.75
7295,-0.533,14.3,2.41,3.68,37.75
7503,-0.559,14.758,2.41,3.68,37.75
7711,-0.559,14.83,2.41,3.68,37.75
7919,-0.584,14.011,2.41,3.68,37.75
8126,-0.584,14.545,2.41,3.68,37.75
8334,-0.61,14.87,2.41,3.68,37.75
8542,-0.635,15.386,2.41,3.68,37.75
8750,-0.635,16.2,2.41,3.68,37.75
8958,-0.66,16.791,2.41,3.68,37.75
9166,-0.686,17.325,2.41,3.68,37.75
9374,-0.686,18.112,2.41,3.68,37.75
9582,-0.711,18.659,2.41,3.68,37.75
9790,-0.737,19.367,2.41,3.68,37.75
9998,-0.737,19.998,2.41,3.68,37.75
10206,-0.762,20.643,2.41,3.68,37.75
10414,-0.762,21.306,2.41,3.68,37.75
10622,-0.787,21.804,2.41,3.68,37.75
10830,-0.813,22.538,2.41,3.68,37.75
11038,-0.813,23.245,2.41,3.68,37.75
11246,-0.838,23.97,2.41,3.68,37.75
11454,-0.864,24.428,2.41,3.68,37.75
11662,-0.864,25.18,2.41,3.68,37.75
11869,-0.889,25.54,2.41,3.68,37.75
12077,-0.914,26.319,2.41,3.68,37.75
12269,-0.914,26.977,2.41,3.68,37.75
12461,-0.94,27.337,2.41,3.68,37.75
12653,-0.94,28,2.41,3.68,37.75
12845,-0.965,28.663,2.41,3.68,37.75
13037,-0.965,28.934,2.41,3.68,37.75
13229,-0.991,29.628,2.41,3.68,37.75
13421,-1.016,30.166,2.41,3.68,37.75
13613,-1.016,30.611,2.41,3.68,37.75
13805,-1.041,31.225,2.41,3.68,37.75
13997,-1.041,31.661,2.41,3.68,37.75
14189,-1.067,32.199,2.41,3.68,37.75
14381,-1.067,32.568,2.41,3.68,37.75
14573,-1.092,33.12,2.41,3.68,37.75
14765,-1.118,33.707,2.41,3.68,37.75
14972,-1.118,34.143,2.41,3.68,37.75
15180,-1.143,34.761,2.41,3.68,37.75
15388,-1.168,35.161,2.41,3.68,37.75
15596,-1.168,35.557,2.41,3.68,37.75
15804,-1.194,36.055,2.41,3.68,37.75
16012,-1.219,36.54,2.41,3.68,37.75
16220,-1.219,36.789,2.41,3.68,37.75
16428,-1.245,37.43,2.41,3.68,37.75
16636,-1.27,37.826,2.41,3.68,37.75
16844,-1.27,38.226,2.41,3.68,37.75
17052,-1.295,38.604,2.41,3.68,37.75
17260,-1.295,38.951,2.41,3.68,37.75
17468,-1.321,39.449,2.41,3.68,37.75
17676,-1.346,39.725,2.41,3.68,37.75
17884,-1.346,40.09,2.41,3.68,37.75
18092,-1.372,40.246,2.41,3.68,37.75
18299,-1.397,40.65,2.41,3.68,37.75
18507,-1.397,41.135,2.41,3.68,37.75
18715,-1.422,41.375,2.41,3.68,37.75
18923,-1.448,41.624,2.41,3.68,37.75
19131,-1.448,42.02,2.41,3.68,37.75
19339,-1.473,42.22,2.41,3.68,37.75
19547,-1.499,42.541,2.41,3.68,37.75
19755,-1.499,42.865,2.41,3.68,37.75
19963,-1.524,43.017,2.41,3.68,37.75
20171,-1.549,43.257,2.41,3.68,37.75
20379,-1.549,43.497,2.41,3.68,37.75
20588,-1.575,43.742,2.41,3.68,37.75
20796,-1.6,44.106,2.41,3.68,37.75
21004,-1.6,44.222,2.41,3.68,37.75
21212,-1.626,44.6,2.41,3.68,37.75
21420,-1.651,44.734,2.41,3.68,37.75
21628,-1.651,44.943,2.41,3.68,37.75
21835,-1.676,45.147,2.41,3.68,37.75
22043,-1.702,45.383,2.41,3.68,37.75
22251,-1.702,45.539,2.41,3.68,37.75
22459,-1.727,45.61,2.41,3.68,37.75
22667,-1.753,45.899,2.41,3.68,37.75
22875,-1.753,46.139,2.41,3.68,37.75
23083,-1.778,46.17,2.41,3.68,37.75
23291,-1.803,46.379,2.41,3.68,37.75
23499,-1.803,46.619,2.41,3.68,37.75
23707,-1.829,46.9,2.41,3.68,37.75
23899,-1.854,46.931,2.41,3.68,37.75
24091,-1.854,47.042,2.41,3.68,37.75
24283,-1.88,47.18,2.41,3.68,37.75
24475,-1.88,47.34,2.41,3.68,37.75
24667,-1.905,47.376,2.41,3.68,37.75
24859,-1.93,47.5,2.41,3.68,37.75
25051,-1.93,47.736,2.41,3.68,37.75
25242,-1.956,47.86,2.41,3.68,37.75
25435,-1.956,47.945,2.41,3.68,37.75
25627,-1.981,47.936,2.41,3.68,37.75
25818,-2.007,48.101,2.41,3.68,37.75
26010,-2.007,48.176,2.41,3.68,37.75
26202,-2.032,48.212,2.41,3.68,37.75
26394,-2.057,48.368,2.41,3.68,37.75
26586,-2.057,48.457,2.41,3.68,37.75
26778,-2.083,48.492,2.41,3.68,37.75
26970,-2.083,48.777,2.41,3.68,37.75
27178,-2.108,48.683,2.41,3.68,37.75
27386,-2.134,48.857,2.41,3.68,37.75
27594,-2.134,48.964,2.41,3.68,37.75
27802,-2.159,49.088,2.41,3.68,37.75
28010,-2.184,48.968,2.41,3.68,37.75
28218,-2.184,49.253,2.41,3.68,37.75
28426,-2.21,49.208,2.41,3.68,37.75
28634,-2.235,49.293,2.41,3.68,37.75
28842,-2.261,49.497,2.41,3.68,37.75
29049,-2.261,49.488,2.41,3.68,37.75
29257,-2.286,49.533,2.41,3.68,37.75
29465,-2.311,49.689,2.41,3.68,37.75
29673,-2.311,49.604,2.41,3.68,37.75
29881,-2.337,49.689,2.41,3.68,37.75
30089,-2.362,49.924,2.41,3.68,37.75
30297,-2.362,49.84,2.41,3.68,37.75
30505,-2.388,49.889,2.41,3.68,37.75
30713,-2.413,50.133,2.41,3.68,37.75
30921,-2.413,49.996,2.41,3.68,37.75
31129,-2.438,50.125,2.41,3.68,37.75
31337,-2.464,50.249,2.41,3.68,37.75
31545,-2.464,50.169,2.41,3.68,37.75
31753,-2.489,50.249,2.41,3.68,37.75
31961,-2.515,50.24,2.41,3.68,37.75
32169,-2.515,50.356,2.41,3.68,37.75
32376,-2.54,50.449,2.41,3.68,37.75
32584,-2.565,50.489,2.41,3.68,37.75
32792,-2.565,50.356,2.41,3.68,37.75
33000,-2.591,50.205,2.41,3.68,37.75
33208,-2.616,50.16,2.41,3.68,37.75
33416,-2.616,1.156,2.41,3.68,37.75
33624,-2.718,1.201,2.41,3.68,37.75
33832,-2.743,1.192,2.41,3.68,37.75
34040,-2.743,1.232,2.41,3.68,37.75
34248,-2.769,1.281,2.41,3.68,37.75
34456,-2.794,1.281,2.41,3.68,37.75
34664,-2.794,1.228,2.41,3.68,37.75
34872,-2.819,1.321,2.41,3.68,37.75
35080,-2.819,1.361,2.41,3.68,37.75
35288,-2.845,1.321,2.41,3.68,37.75
35496,-2.87,1.366,2.41,3.68,37.75
35703,-2.87,1.512,2.41,3.68,37.75
